Size(n),Runtime(ns)
100,27556
200,23295
300,15051
400,21398
500,32403
600,45931
700,59476
800,74623
900,97187
1000,117562
1100,146936
1200,175565
1300,205621
1400,234867
1500,289119
1600,316000
1700,338735
1800,384154
1900,454871
2000,479789
2100,523767
2200,569133
2300,594226
2400,649892
2500,762882
2600,824583
2700,820825
2800,936319
2900,1001894
3000,1202983
3100,1102796
3200,1142947
3300,1273134
3400,1335144
3500,1385519
3600,1487212
3700,1643039
3800,1584675
3900,1803921
4000,1860219
4100,1953125
4200,2061289
4300,2105098
4400,2319196
4500,2400445
4600,2459239
4700,3036292
4800,2649161
4900,2722762
5000,2853465
5100,2931751
5200,3172021
5300,3259498
5400,3383961
5500,3572581
5600,3952306
5700,4057486
5800,4128838
5900,4500041
6000,4243358
6100,4440773
6200,4423758
6300,4650344
6400,4835111
6500,5169162
6600,5273998
6700,5232195
6800,5510103
6900,5449719
7000,5799397
7100,6035996
7200,6217674
7300,6432295
7400,6413750
7500,6721179
7600,7194806
7700,6790141
7800,6976057
7900,7195127
8000,7297145
8100,7702854
8200,7679942
8300,8039884
8400,8076738
8500,8326384
8600,8801227
8700,8847646
8800,9562272
8900,9262906
9000,9462952
9100,9709119
9200,9717784
9300,10095876
9400,10562425
9500,10787945
9600,11319116
9700,11438330
9800,11814747
9900,11714782
10000,12486389

